SNo,Date,Account Name,Amount,Voucher No
616,30/05/2024, POS Billing,2126,REG1431
617,07/06/2024, POS Billing,2075,REG1521
618,14/06/2024, POS Billing,1727.5,REG1612
619,20/06/2024, POS Billing,1893,REG1722
620,27/06/2024, POS Billing,2201.5,REG1830
621,04/07/2024, POS Billing,1864,REG1948
622,11/07/2024, POS Billing,3010,REG2060
623,18/07/2024, POS Billing,3260,REG2172
624,25/07/2024, POS Billing,1809,REG2268
625,02/08/2024, POS Billing,1357,REG2362
626,08/08/2024, POS Billing,2109.5,REG2468
627,15/08/2024, POS Billing,2005,REG2574
628,22/08/2024, POS Billing,2163,REG2646
629,29/08/2024, POS Billing,2635,REG2757
630,04/09/2024, POS Billing,2654.5,REG2849
631,12/09/2024, POS Billing,2425,REG2962
632,19/09/2024, POS Billing,1838,REG3066
633,26/09/2024, POS Billing,1734,REG3169
634,03/10/2024, POS Billing,2563,REG3261
635,10/10/2024, POS Billing,1993,REG3384
636,17/10/2024, POS Billing,2348,REG3484
637,24/10/2024, POS Billing,2730,REG3586
638,30/10/2024, POS Billing,1442,REG3666
639,07/11/2024, POS Billing,1777.5,REG3759
640,14/11/2024, POS Billing,2462,REG3865
641,21/11/2024, POS Billing,2108,REG3951
642,28/11/2024, POS Billing,2008,REG4060
643,06/12/2024, POS Billing,3416,REG4184
644,06/05/2024, POS Billing,650,REG1054
645,13/05/2024, POS Billing,947,REG1170
646,20/05/2024, POS Billing,410,REG1270
647,27/05/2024, POS Billing,1008,REG1373
648,03/06/2024, POS Billing,1210,REG1468
649,10/06/2024, POS Billing,203,REG1551
650,17/06/2024, POS Billing,777,REG1649
651,24/06/2024, POS Billing,717,REG1757
652,01/07/2024, POS Billing,919,REG1872
653,08/07/2024, POS Billing,502,REG1987
654,15/07/2024, POS Billing,1000,REG2094
655,22/07/2024, POS Billing,1113,REG2206
656,30/07/2024, POS Billing,457,REG2294
657,05/08/2024, POS Billing,478,REG2394
658,12/08/2024, POS Billing,624,REG2508
659,27/08/2024, POS Billing,1011,REG2709
660,02/09/2024, POS Billing,1082,REG2794
661,09/09/2024, POS Billing,391,REG2903
662,16/09/2024, POS Billing,568,REG2996
663,23/09/2024, POS Billing,687,REG3108
664,30/09/2024, POS Billing,569,REG3204
665,07/10/2024, POS Billing,750,REG3313
666,14/10/2024, POS Billing,609,REG3414
667,21/10/2024, POS Billing,978,REG3519
668,28/10/2024, POS Billing,615,REG3619
669,04/11/2024, POS Billing,606,REG3705
670,11/11/2024, POS Billing,691,REG3810
671,18/11/2024, POS Billing,498,REG3910
672,25/11/2024, POS Billing,1275,REG3998
673,02/12/2024, POS Billing,727,REG4112
674,09/12/2024, POS Billing,529,REG4215
675,13/05/2024, POS Billing,1263,REG1167
676,20/05/2024, POS Billing,1408,REG1269
677,03/06/2024, POS Billing,1808,REG1466
678,10/06/2024, POS Billing,1241,REG1549
679,17/06/2024, POS Billing,1733,REG1647
680,24/06/2024, POS Billing,1476,REG1756
681,01/07/2024, POS Billing,2147,REG1870
682,15/07/2024, POS Billing,4133,REG2093
683,30/07/2024, POS Billing,1087,REG2291
684,05/08/2024, POS Billing,1030,REG2401
685,12/08/2024, POS Billing,1754,REG2506
686,26/08/2024, POS Billing,1151,REG2687
687,16/09/2024, POS Billing,1685,REG2994
688,23/09/2024, POS Billing,1682,REG3096
689,07/10/2024, POS Billing,3346,REG3299
690,14/10/2024, POS Billing,450,REG3413
691,21/10/2024, POS Billing,2687,REG3517
692,11/11/2024, POS Billing,2073,REG3809
693,25/11/2024, POS Billing,1894,REG3990
694,02/12/2024, POS Billing,1785,REG4115
695,17/05/2024, POS Billing,5498,REG1241
696,15/06/2024, POS Billing,4780,REG1626
697,05/07/2024, POS Billing,7509,REG1962
698,03/08/2024, POS Billing,6799,REG2366
699,13/09/2024, POS Billing,8589,REG2980
700,18/10/2024, POS Billing,9358,REG3493
701,23/11/2024, POS Billing,7341,REG3980
702,15/06/2024, POS Billing,3913,REG1638
703,20/07/2024, POS Billing,4852,REG2190
704,13/09/2024, POS Billing,4885,REG2972
705,07/05/2024, POS Billing,1114,REG1078
706,14/05/2024, POS Billing,402,REG1190
707,28/05/2024, POS Billing,1264,REG1388
708,12/06/2024, POS Billing,923,REG1576
709,18/06/2024, POS Billing,1343,REG1672
710,09/07/2024, POS Billing,600,REG2013
711,09/07/2024, POS Billing,998,REG2011
712,23/07/2024, POS Billing,678,REG2231
713,07/05/2024, POS Billing,830,REG1081
714,14/05/2024, POS Billing,750,REG1192
715,18/06/2024, POS Billing,450,REG1673
716,25/06/2024, POS Billing,490,REG1792
717,09/07/2024, POS Billing,450,REG2016
718,16/07/2024, POS Billing,380,REG2126
719,13/08/2024, POS Billing,660,REG2537
720,01/05/2024, POS Billing,762,REG998
721,08/05/2024, POS Billing,1199,REG1101
722,15/05/2024, POS Billing,883,REG1208
723,22/05/2024, POS Billing,560,REG1309
724,13/06/2024, POS Billing,1500.5,REG1597
725,19/06/2024, POS Billing,976,REG1695
726,26/06/2024, POS Billing,445,REG1805
727,03/07/2024, POS Billing,698,REG1921
728,17/07/2024, POS Billing,648,REG2144
729,31/07/2024, POS Billing,971,REG2332
730,07/08/2024, POS Billing,548,REG2444
731,15/08/2024, POS Billing,552,REG2550
732,22/08/2024, POS Billing,1026,REG2623
733,28/08/2024, POS Billing,739,REG2730
734,04/09/2024, POS Billing,803,REG2835
735,11/09/2024, POS Billing,383,REG2939
736,18/09/2024, POS Billing,1146,REG3035
737,25/09/2024, POS Billing,1821,REG3139
738,03/10/2024, POS Billing,948,REG3239
739,09/10/2024, POS Billing,685,REG3345
740,16/10/2024, POS Billing,1147,REG3453
741,23/10/2024, POS Billing,873,REG3562
742,29/10/2024, POS Billing,633,REG3648
743,06/11/2024, POS Billing,836,REG3751
744,13/11/2024, POS Billing,774,REG3857
745,21/11/2024, POS Billing,640,REG3939
746,27/11/2024, POS Billing,620,REG4040
747,04/12/2024, POS Billing,1142,REG4147
748,01/05/2024, POS Billing,1850,REG989
749,08/05/2024, POS Billing,1872,REG1093
750,15/05/2024, POS Billing,3237,REG1205
751,22/05/2024, POS Billing,797,REG1301
752,29/05/2024, POS Billing,4140,REG1402
753,13/06/2024, POS Billing,3206,REG1584
754,19/06/2024, POS Billing,2968,REG1691
755,26/06/2024, POS Billing,2872,REG1802
756,03/07/2024, POS Billing,3193,REG1917
757,10/07/2024, POS Billing,2983,REG2024
758,17/07/2024, POS Billing,2946,REG2141
759,24/07/2024, POS Billing,4385,REG2243
760,31/07/2024, POS Billing,3544,REG2329
761,07/08/2024, POS Billing,4922,REG2440
762,15/08/2024, POS Billing,2957,REG2547
763,28/08/2024, POS Billing,4681,REG2727
764,04/09/2024, POS Billing,3851,REG2833
765,11/09/2024, POS Billing,4690,REG2929
766,25/09/2024, POS Billing,3556,REG3136
767,02/10/2024, POS Billing,3072,REG3234
768,09/10/2024, POS Billing,5241,REG3342
769,16/10/2024, POS Billing,4655,REG3463
770,29/10/2024, POS Billing,4744,REG3655
771,06/11/2024, POS Billing,3425,REG3741
772,13/11/2024, POS Billing,2929,REG3850
773,27/11/2024, POS Billing,5613,REG4029
774,04/12/2024, POS Billing,3426,REG4146
775,02/05/2024, POS Billing,3319.5,REG1009
776,09/05/2024, POS Billing,2403,REG1124
777,16/05/2024, POS Billing,1594,REG1229
778,23/05/2024, POS Billing,2236,REG1324
779,30/05/2024, POS Billing,2299,REG1427
780,07/06/2024, POS Billing,2404,REG1515
781,14/06/2024, POS Billing,2178,REG1617
782,20/06/2024, POS Billing,2536,REG1717
783,27/06/2024, POS Billing,2325,REG1834
784,04/07/2024, POS Billing,2019,REG1944
785,11/07/2024, POS Billing,3396,REG2055
786,18/07/2024, POS Billing,2049,REG2169
787,25/07/2024, POS Billing,1925,REG2281
788,02/08/2024, POS Billing,1855,REG2356
789,15/08/2024, POS Billing,2524,REG2571
790,22/08/2024, POS Billing,2943,REG2650
791,29/08/2024, POS Billing,2021,REG2755
792,04/09/2024, POS Billing,2572,REG2845
793,12/09/2024, POS Billing,2285,REG2959
794,19/09/2024, POS Billing,2218,REG3061
795,26/09/2024, POS Billing,2327,REG3166
796,04/10/2024, POS Billing,1658,REG3265
797,10/10/2024, POS Billing,2190,REG3380
798,17/10/2024, POS Billing,2102,REG3481
799,24/10/2024, POS Billing,3662,REG3580
800,07/11/2024, POS Billing,3184.5,REG3768
801,14/11/2024, POS Billing,2299,REG3876
802,21/11/2024, POS Billing,1790,REG3956
803,28/11/2024, POS Billing,869,REG4045
804,09/05/2024, POS Billing,2312,REG1107
805,23/05/2024, POS Billing,3138,REG1333
806,07/06/2024, POS Billing,3297,REG1529
807,20/06/2024, POS Billing,2783,REG1703
808,27/06/2024, POS Billing,640,REG1816
809,11/07/2024, POS Billing,2424,REG2038
810,18/07/2024, POS Billing,1884,REG2153
811,08/08/2024, POS Billing,3756,REG2451
812,15/08/2024, POS Billing,1011,REG2577
813,23/08/2024, POS Billing,2495,REG2655
814,04/09/2024, POS Billing,2597,REG2860
815,19/09/2024, POS Billing,4000,REG3044
816,04/10/2024, POS Billing,4253,REG3266
817,17/10/2024, POS Billing,2009,REG3467
818,21/10/2024, POS Billing,156,REG3525
819,07/11/2024, POS Billing,6230,REG3753
820,28/11/2024, POS Billing,4022,REG4054
821,03/05/2024, POS Billing,9728,REG1022
822,10/05/2024, POS Billing,7543,REG1135
823,16/05/2024, POS Billing,8148,REG1224
824,24/05/2024, POS Billing,6713,REG1336
825,30/05/2024, POS Billing,7761,REG1430
826,07/06/2024, POS Billing,5696,REG1533
827,20/06/2024, POS Billing,9242,REG1714
828,27/06/2024, POS Billing,10904,REG1826
829,04/07/2024, POS Billing,5950,REG1941
830,12/07/2024, POS Billing,9220,REG2066
831,18/07/2024, POS Billing,6558,REG2166
832,25/07/2024, POS Billing,10319,REG2285
833,01/08/2024, POS Billing,5435,REG2345
834,16/08/2024, POS Billing,14784,REG2581
835,06/09/2024, POS Billing,7721,REG2888
836,12/09/2024, POS Billing,3377,REG2947
837,19/09/2024, POS Billing,2453,REG3051
838,26/09/2024, POS Billing,7820,REG3155
839,03/10/2024, POS Billing,11126,REG3242
840,10/10/2024, POS Billing,9589,REG3375
841,15/10/2024, POS Billing,4500,REG3439
842,17/10/2024, POS Billing,6024,REG3471
843,25/10/2024, POS Billing,7972,REG3589
844,30/10/2024, POS Billing,7376,REG3667
845,07/11/2024, POS Billing,6788,REG3760
846,14/11/2024, POS Billing,4838,REG3868
847,28/11/2024, POS Billing,10349,REG4061
848,05/12/2024, POS Billing,6289,REG4165
849,21/06/2024, POS Billing,104,REG1729
850,04/05/2024, POS Billing,1330,REG1048
851,11/05/2024, POS Billing,2475,REG1160
852,18/05/2024, POS Billing,1387,REG1265
853,25/05/2024, POS Billing,2205,REG1338
854,01/06/2024, POS Billing,2089,REG1444
855,07/06/2024, POS Billing,2670,REG1510
856,22/06/2024, POS Billing,2050,REG1732
857,05/07/2024, POS Billing,3435,REG1967
858,10/08/2024, POS Billing,2552,REG2491
859,17/08/2024, POS Billing,2793,REG2589
860,31/08/2024, POS Billing,3551,REG2768
861,06/09/2024, POS Billing,1725,REG2874
862,13/09/2024, POS Billing,3484,REG2983
863,20/09/2024, POS Billing,2431,REG3088
864,27/09/2024, POS Billing,1261,REG3187
865,05/10/2024, POS Billing,2394,REG3289
866,11/10/2024, POS Billing,2304,REG3401
867,18/10/2024, POS Billing,2340,REG3494
868,26/10/2024, POS Billing,1754,REG3611
869,01/11/2024, POS Billing,3538,REG3691
870,09/11/2024, POS Billing,1996,REG3794
871,16/11/2024, POS Billing,1781,REG3890
872,23/11/2024, POS Billing,2716,REG3981
873,30/11/2024, POS Billing,1750,REG4081
874,07/12/2024, POS Billing,3013,REG4189
875,11/05/2024, POS Billing,6983,REG1158
876,18/05/2024, POS Billing,4540,REG1264
877,25/05/2024, POS Billing,3104,REG1354
878,01/06/2024, POS Billing,4457,REG1457
879,08/06/2024, POS Billing,5729,REG1541
880,22/06/2024, POS Billing,5289,REG1747
881,29/06/2024, POS Billing,3345,REG1857
882,05/07/2024, POS Billing,6414,REG1970
883,13/07/2024, POS Billing,5605,REG2086
884,20/07/2024, POS Billing,7721,REG2194
885,03/08/2024, POS Billing,3966,REG2382
886,10/08/2024, POS Billing,5761,REG2497
887,17/08/2024, POS Billing,3737,REG2603
888,24/08/2024, POS Billing,4754,REG2675
889,31/08/2024, POS Billing,4907,REG2786
890,20/09/2024, POS Billing,9606,REG3080
891,27/09/2024, POS Billing,4487,REG3181
892,05/10/2024, POS Billing,4878,REG3283
893,18/10/2024, POS Billing,5741,REG3508
894,26/10/2024, POS Billing,4578,REG3600
895,01/11/2024, POS Billing,2416,REG3685
896,09/11/2024, POS Billing,4098,REG3802
897,16/11/2024, POS Billing,2342,REG3899
898,23/11/2024, POS Billing,1722,REG3975
899,30/11/2024, POS Billing,6199,REG4097
900,07/12/2024, POS Billing,3880,REG4207
901,04/05/2024, POS Billing,9871,REG1039
902,01/06/2024, POS Billing,7180,REG1452
903,22/06/2024, POS Billing,7683,REG1746
904,13/07/2024, POS Billing,8005,REG2080
905,10/08/2024, POS Billing,7835,REG2486
906,31/08/2024, POS Billing,8819,REG2778
907,20/09/2024, POS Billing,7050,REG3079
908,04/10/2024, POS Billing,11069,REG3275
909,09/11/2024, POS Billing,6747,REG3797
910,30/11/2024, POS Billing,8032,REG4090
911,24/06/2024, POS Billing,850,REG1769
912,06/05/2024, POS Billing,1188,REG1055
913,13/05/2024, POS Billing,2025,REG1171
914,27/05/2024, POS Billing,2173,REG1364
915,03/06/2024, POS Billing,1574,REG1469
916,10/06/2024, POS Billing,2337,REG1552
917,17/06/2024, POS Billing,2546,REG1650
918,24/06/2024, POS Billing,2499,REG1758
919,01/07/2024, POS Billing,1815,REG1873
920,08/07/2024, POS Billing,2693,REG1988
921,15/07/2024, POS Billing,1444,REG2095
922,22/07/2024, POS Billing,1994,REG2207
923,30/07/2024, POS Billing,2454,REG2295
924,05/08/2024, POS Billing,1896,REG2395
925,12/08/2024, POS Billing,2054,REG2509
926,26/08/2024, POS Billing,1721,REG2689
927,02/09/2024, POS Billing,3969,REG2795
928,09/09/2024, POS Billing,1705,REG2895
929,16/09/2024, POS Billing,1728,REG2997
930,23/09/2024, POS Billing,2636,REG3098
931,30/09/2024, POS Billing,3706,REG3205
932,07/10/2024, POS Billing,4389,REG3302
933,14/10/2024, POS Billing,1897,REG3415
934,28/10/2024, POS Billing,4398,REG3620
935,04/11/2024, POS Billing,1050,REG3706
936,11/11/2024, POS Billing,3721,REG3811
937,18/11/2024, POS Billing,2247,REG3905
938,25/11/2024, POS Billing,2766,REG3992
939,02/12/2024, POS Billing,1962,REG4111
940,09/12/2024, POS Billing,4208,REG4214
941,06/05/2024, POS Billing,160,REG1063
942,10/05/2024, POS Billing,1330,REG1137
943,14/05/2024, POS Billing,380,REG1189
944,21/05/2024, POS Billing,572,REG1280
945,04/06/2024, POS Billing,650,REG1490
946,16/06/2024, POS Billing,2174,REG1643
947,25/06/2024, POS Billing,460,REG1772
948,01/07/2024, POS Billing,1216,REG1887
949,08/07/2024, POS Billing,2220,REG1998
950,16/07/2024, POS Billing,1934,REG2106
951,23/07/2024, POS Billing,380,REG2217
952,30/07/2024, POS Billing,830,REG2306
953,06/08/2024, POS Billing,1410,REG2406
954,13/08/2024, POS Billing,864,REG2522
955,16/08/2024, POS Billing,512,REG2585
956,27/08/2024, POS Billing,1818,REG2713
957,03/09/2024, POS Billing,1050,REG2806
958,09/09/2024, POS Billing,1002,REG2904
959,17/09/2024, POS Billing,1112,REG3007
960,24/09/2024, POS Billing,828,REG3111
961,30/09/2024, POS Billing,754,REG3211
962,06/10/2024, POS Billing,2588,REG3292
963,14/10/2024, POS Billing,3048,REG3425
964,14/10/2024, POS Billing,290,REG3408
965,16/10/2024, POS Billing,1565,REG3444
966,21/10/2024, POS Billing,1680,REG3538
967,28/10/2024, POS Billing,475,REG3640
968,05/11/2024, POS Billing,910,REG3729
969,11/11/2024, POS Billing,475,REG3819
970,18/11/2024, POS Billing,680,REG3917
971,26/11/2024, POS Billing,1304,REG4022
972,02/12/2024, POS Billing,1532,REG4122
973,09/12/2024, POS Billing,1354,REG4223
974,29/05/2024, POS Billing,280,REG1399
975,12/06/2024, POS Billing,1601,REG1575
976,25/06/2024, POS Billing,546,REG1790
977,23/07/2024, POS Billing,1395,REG2234
978,31/07/2024, POS Billing,506,REG2315
979,06/08/2024, POS Billing,584,REG2423
980,13/08/2024, POS Billing,278,REG2535
981,14/05/2024, POS Billing,760,REG1199
982,18/06/2024, POS Billing,665,REG1677
983,25/06/2024, POS Billing,650,REG1798
984,09/05/2024, POS Billing,17489,REG1120
985,16/05/2024, POS Billing,5839,REG1214
986,30/05/2024, POS Billing,14561,REG1414
987,14/06/2024, POS Billing,19870,REG1616
988,27/06/2024, POS Billing,11232,REG1815
989,25/07/2024, POS Billing,21823,REG2259
990,09/08/2024, POS Billing,1420,REG2474
991,16/08/2024, POS Billing,24767,REG2584
992,05/09/2024, POS Billing,22565,REG2867
993,19/09/2024, POS Billing,24280,REG3059
994,10/10/2024, POS Billing,24960,REG3361
995,07/11/2024, POS Billing,26252,REG3774
996,28/11/2024, POS Billing,2090,REG4055
997,05/12/2024, POS Billing,29798,REG4179
998,04/05/2024, POS Billing,570,REG1031
999,17/05/2024, POS Billing,600,REG1247
1000,25/05/2024, POS Billing,300,REG1342
1001,29/06/2024, POS Billing,279,REG1850
1002,17/05/2024, POS Billing,5135,REG1246
1003,29/06/2024, POS Billing,6081,REG1865
1004,31/08/2024, POS Billing,8367,REG2772
1005,11/10/2024, POS Billing,8199,REG3406
1006,30/11/2024, POS Billing,5339,REG4096
1007,04/05/2024, POS Billing,2140,REG1038
1008,17/05/2024, POS Billing,1098,REG1254
1009,01/06/2024, POS Billing,1158,REG1458
1010,15/06/2024, POS Billing,1307,REG1633
1011,29/06/2024, POS Billing,2260,REG1856
1012,13/07/2024, POS Billing,868,REG2088
1013,03/08/2024, POS Billing,1373.5,REG2381
1014,10/08/2024, POS Billing,1422,REG2503
1015,24/08/2024, POS Billing,935,REG2667
1016,31/08/2024, POS Billing,641,REG2777
1017,06/09/2024, POS Billing,1456,REG2876
1018,21/09/2024, POS Billing,1822,REG3091
1019,04/10/2024, POS Billing,1561.5,REG3274
1020,11/10/2024, POS Billing,1502,REG3391
1021,19/10/2024, POS Billing,1869,REG3512
1022,09/11/2024, POS Billing,2501,REG3798
1023,23/11/2024, POS Billing,1904,REG3969
1024,30/11/2024, POS Billing,2138,REG4098
1025,06/05/2024, POS Billing,7139,REG1071
1026,04/06/2024, POS Billing,6386,REG1487
1027,10/06/2024, POS Billing,2074,REG1566
1028,18/06/2024, POS Billing,1642,REG1666
1029,25/06/2024, POS Billing,4751,REG1781
1030,01/07/2024, POS Billing,1181,REG1896
1031,08/07/2024, POS Billing,1128,REG2008
1032,16/07/2024, POS Billing,3849,REG2111
1033,23/07/2024, POS Billing,3338,REG2227
1034,06/08/2024, POS Billing,2091,REG2416
1035,13/08/2024, POS Billing,2154,REG2527
1036,27/08/2024, POS Billing,7723,REG2705
1037,09/09/2024, POS Billing,3945,REG2916
1038,17/09/2024, POS Billing,1741,REG3015
1039,24/09/2024, POS Billing,3426,REG3125
1040,08/10/2024, POS Billing,4347,REG3326
1041,15/10/2024, POS Billing,5093,REG3435
1042,21/10/2024, POS Billing,2831,REG3533
1043,05/11/2024, POS Billing,5986,REG3723
1044,11/11/2024, POS Billing,2578,REG3821
1045,25/11/2024, POS Billing,2460,REG4003
1046,02/12/2024, POS Billing,3782,REG4124
1047,02/05/2024, POS Billing,570,REG1002
1048,09/05/2024, POS Billing,950,REG1115
1049,16/05/2024, POS Billing,950,REG1221
1050,23/05/2024, POS Billing,570,REG1320
1051,30/05/2024, POS Billing,1760,REG1423
1052,07/06/2024, POS Billing,1760,REG1512
1053,14/06/2024, POS Billing,1760,REG1603
1054,20/06/2024, POS Billing,1490,REG1711
1055,27/06/2024, POS Billing,1380,REG1823
1056,04/07/2024, POS Billing,950,REG1938
1057,11/07/2024, POS Billing,1760,REG2044
1058,18/07/2024, POS Billing,810,REG2158
1059,25/07/2024, POS Billing,1490,REG2264
1060,01/08/2024, POS Billing,2440,REG2344
1061,08/08/2024, POS Billing,810,REG2465
1062,15/08/2024, POS Billing,1610,REG2568
1063,22/08/2024, POS Billing,1890,REG2649
1064,29/08/2024, POS Billing,1610,REG2751
1065,04/09/2024, POS Billing,1050,REG2856
1066,12/09/2024, POS Billing,1610,REG2950
1067,19/09/2024, POS Billing,1610,REG3054
1068,26/09/2024, POS Billing,420,REG3160
1069,03/10/2024, POS Billing,1610,REG3254
1070,10/10/2024, POS Billing,1610,REG3369
1071,17/10/2024, POS Billing,2450,REG3476
1072,30/10/2024, POS Billing,1920,REG3673
1073,07/11/2024, POS Billing,1725,REG3773
1074,21/11/2024, POS Billing,1050,REG3960
1075,05/12/2024, POS Billing,580,REG4169
1076,20/06/2024, POS Billing,5126,REG1706
1077,04/07/2024, POS Billing,5290,REG1932
1078,11/07/2024, POS Billing,3065,REG2063
1079,19/07/2024, POS Billing,3716,REG2177
1080,25/07/2024, POS Billing,5708,REG2262
1081,01/08/2024, POS Billing,2176,REG2338
1082,09/08/2024, POS Billing,4994,REG2475
1083,29/08/2024, POS Billing,5666,REG2739
1084,05/09/2024, POS Billing,3723,REG2869
1085,19/09/2024, POS Billing,4827,REG3046
1086,03/10/2024, POS Billing,4706,REG3245
1087,15/10/2024, POS Billing,4033,REG3443
1088,24/10/2024, POS Billing,6551,REG3566
1089,01/11/2024, POS Billing,2775,REG3674
1090,07/11/2024, POS Billing,6249,REG3754
1091,21/11/2024, POS Billing,4932,REG3945
1092,05/12/2024, POS Billing,6667,REG4157
1093,04/05/2024, POS Billing,436,REG1043
1094,17/05/2024, POS Billing,760,REG1257
1095,01/06/2024, POS Billing,1415,REG1455
1096,22/06/2024, POS Billing,498,REG1750
1097,29/06/2024, POS Billing,1661,REG1859
1098,05/07/2024, POS Billing,858,REG1971
1099,03/08/2024, POS Billing,799,REG2385
1100,24/08/2024, POS Billing,1586,REG2669
1101,31/08/2024, POS Billing,1690,REG2780
1102,04/10/2024, POS Billing,871,REG3278
1103,26/10/2024, POS Billing,534,REG3602
1104,23/11/2024, POS Billing,1346,REG3976
1105,02/05/2024, POS Billing,4483,REG1020
1106,09/05/2024, POS Billing,1668,REG1117
1107,16/05/2024, POS Billing,5109,REG1219
1108,23/05/2024, POS Billing,3760,REG1318
1109,30/05/2024, POS Billing,3628,REG1420
1110,07/06/2024, POS Billing,4579,REG1534
1111,14/06/2024, POS Billing,2525,REG1610
1112,20/06/2024, POS Billing,3993,REG1715
1113,27/06/2024, POS Billing,3150,REG1827
1114,05/07/2024, POS Billing,4655,REG1954
1115,11/07/2024, POS Billing,4690,REG2059
1116,18/07/2024, POS Billing,2760,REG2161
1117,25/07/2024, POS Billing,3747,REG2272
1118,01/08/2024, POS Billing,4343,REG2348
1119,08/08/2024, POS Billing,3817,REG2460
1120,15/08/2024, POS Billing,4639,REG2580
1121,23/08/2024, POS Billing,4193,REG2654
1122,29/08/2024, POS Billing,2046,REG2750
1123,04/09/2024, POS Billing,5118,REG2850
1124,12/09/2024, POS Billing,4975,REG2955
1125,19/09/2024, POS Billing,4059,REG3056
1126,26/09/2024, POS Billing,3139,REG3157
1127,03/10/2024, POS Billing,5647,REG3253
1128,10/10/2024, POS Billing,4795,REG3371
1129,17/10/2024, POS Billing,7140,REG3472
1130,24/10/2024, POS Billing,4299,REG3570
1131,08/11/2024, POS Billing,3611,REG3780
1132,14/11/2024, POS Billing,1986,REG3867
1133,21/11/2024, POS Billing,5555,REG3952
1134,28/11/2024, POS Billing,4167,REG4063
1135,05/12/2024, POS Billing,5934,REG4167
1136,11/05/2024, POS Billing,1659,REG1156
1137,18/05/2024, POS Billing,1551,REG1263
1138,25/05/2024, POS Billing,450,REG1344
1139,07/06/2024, POS Billing,2232,REG1505
1140,22/06/2024, POS Billing,4976,REG1748
1141,06/07/2024, POS Billing,3118,REG1975
1142,13/07/2024, POS Billing,3698,REG2081
1143,20/07/2024, POS Billing,1139,REG2195
1144,03/08/2024, POS Billing,4259,REG2383
1145,10/08/2024, POS Billing,5633,REG2487
1146,31/08/2024, POS Billing,4402,REG2787
1147,06/09/2024, POS Billing,820,REG2877
1148,13/09/2024, POS Billing,3815,REG2978
1149,20/09/2024, POS Billing,3994,REG3081
1150,04/10/2024, POS Billing,3526,REG3276
1151,26/10/2024, POS Billing,6667,REG3601
1152,30/11/2024, POS Billing,5952,REG4091
1153,04/05/2024, POS Billing,1542,REG1046
1154,11/05/2024, POS Billing,758,REG1154
1155,17/05/2024, POS Billing,328,REG1255
1156,08/06/2024, POS Billing,761,REG1543
1157,15/06/2024, POS Billing,428,REG1642
1158,29/06/2024, POS Billing,1145,REG1863
1159,06/07/2024, POS Billing,598,REG1978
1160,13/07/2024, POS Billing,990,REG2089
1161,03/08/2024, POS Billing,752,REG2373
1162,10/08/2024, POS Billing,653,REG2485
1163,17/08/2024, POS Billing,678,REG2599
1164,24/08/2024, POS Billing,210,REG2666
1165,06/09/2024, POS Billing,1304,REG2886
1166,13/09/2024, POS Billing,1037,REG2977
1167,28/09/2024, POS Billing,152,REG3194
1168,05/10/2024, POS Billing,1032,REG3291
1169,18/10/2024, POS Billing,856,REG3507
1170,02/11/2024, POS Billing,602,REG3695
1171,09/11/2024, POS Billing,792,REG3803
1172,23/11/2024, POS Billing,732,REG3967
1173,30/11/2024, POS Billing,602,REG4088
1174,07/12/2024, POS Billing,818,REG4200
1175,06/05/2024, POS Billing,310,REG1049
1176,20/05/2024, POS Billing,150,REG1279
1177,01/06/2024, POS Billing,222,REG1462
1178,07/07/2024, POS Billing,38,REG1980
1179,08/07/2024, POS Billing,80,REG1982
1180,26/08/2024, POS Billing,84,REG2683
1181,10/10/2024, POS Billing,111,REG3358
1182,04/11/2024, POS Billing,42,REG3715
1183,11/11/2024, POS Billing,153,REG3805
1184,14/11/2024, POS Billing,150,REG3881
1185,02/12/2024, POS Billing,54,REG4105
1186,03/05/2024, POS Billing,5614,REG1021
1187,10/05/2024, POS Billing,3439,REG1133
1188,17/05/2024, POS Billing,3759,REG1239
1189,23/05/2024, POS Billing,3255,REG1316
1190,25/05/2024, POS Billing,288,REG1356
1191,30/05/2024, POS Billing,4736,REG1421
1192,08/06/2024, POS Billing,1865,REG1536
1193,14/06/2024, POS Billing,4339,REG1611
1194,01/07/2024, POS Billing,708,REG1869
1195,04/07/2024, POS Billing,2486,REG1942
1196,07/07/2024, POS Billing,638,REG1981
1197,11/07/2024, POS Billing,5121,REG2047
1198,18/07/2024, POS Billing,4290,REG2165
1199,21/07/2024, POS Billing,540,REG2201
1200,25/07/2024, POS Billing,4879,REG2269
1201,01/08/2024, POS Billing,3365,REG2346
1202,08/08/2024, POS Billing,5484,REG2457
1203,15/08/2024, POS Billing,3114,REG2573
1204,22/08/2024, POS Billing,3555,REG2638
1205,24/08/2024, POS Billing,382,REG2681
1206,29/08/2024, POS Billing,4507,REG2747
1207,05/09/2024, POS Billing,6332,REG2870
1208,06/09/2024, POS Billing,857,REG2887
1209,12/09/2024, POS Billing,2877,REG2948
1210,19/09/2024, POS Billing,1343,REG3052
1211,26/09/2024, POS Billing,2614,REG3156
1212,06/10/2024, POS Billing,600,REG3293
1213,10/10/2024, POS Billing,2981,REG3370
1214,15/10/2024, POS Billing,7370,REG3440
1215,24/10/2024, POS Billing,1944,REG3569
1216,30/10/2024, POS Billing,1566,REG3669
1217,07/11/2024, POS Billing,3779,REG3761
1218,13/11/2024, POS Billing,620,REG3845
